Date;Open;High;Low;Close
2003-06-20;91,14;91,14;90,43;90,59
2003-06-23;90,11;90,11;89,48;89,89
2003-06-24;89,87;89,95;89,47;89,71
2003-06-25;89,7;90,66;89,7;90
2003-06-26;89,3;89,54;89,23;89,54
2003-06-27;89,32;89,81;89;89
2003-06-30;89;89,52;88,72;89,2
2003-07-01;88,6;88,6;87,94;88,57
2003-07-02;88,65;88,98;88,65;88,98
2003-07-03;88,73;89,05;88,55;89,05
2003-07-07;88,6;88,93;88,32;88,57
2003-07-08;88,1;88,1;87,76;88,05
2003-07-09;88,23;88,5;88,06;88,17
2003-07-10;87,6;87,6;86,7;87,04
2003-07-11;87,07;87,63;87,07;87,3
2003-07-14;87,56;87,74;87;87
2003-07-15;86,55;86,55;85,74;85,74
2003-07-16;85,78;85,78;85,45;85,45
2003-07-17;85,79;86,3;85,79;86,04
2003-07-18;86,72;87,42;86,72;87,42
2003-07-21;87,67;87,67;86,8;86,88
2003-07-22;87,28;87,28;87,28;87,28
2003-07-23;87,8;87,8;87,27;87,27
2003-07-24;87,8;88,44;87,15;87,15
2003-07-25;87,34;87,54;87,34;87,54
2003-07-28;87,85;88,08;87,77;88,04
2003-07-29;86,88;87,04;86,59;87,04
2003-07-30;86,57;86,57;86,56;86,56
2003-07-31;86,95;87,86;86,61;86,9
2003-08-01;87,05;87,05;86,32;86,64
2003-08-04;86,75;86,75;85,85;86,41
2003-08-05;86,6;86,88;85,97;85,97
2003-08-06;86,18;86,71;86,18;86,71
2003-08-07;86,96;88,39;86,83;88,39
2003-08-08;88,83;89,17;88,83;89,17
2003-08-11;89,4;90,39;89,4;90,34
2003-08-12;90,4;90,4;89,72;90,21
2003-08-13;90,5;90,91;90,3;90,61
2003-08-14;90,95;91,22;90,63;90,71
2003-08-15;91;91;91;91
2003-08-18;91,15;91,42;91,05;91,33
2003-08-19;91,15;91,28;90,82;91,19
2003-08-20;91;91,84;91;91,67
2003-08-21;91,86;92,13;91,76;91,99
2003-08-22;91,99;91,99;91,01;91,01
2003-08-25;91;91;90,31;90,31
2003-08-26;90,5;90,64;89,68;90,64
2003-08-27;90,85;91,11;90,85;91,11
2003-08-28;90,91;92,14;90,91;92,14
2003-08-29;92,27;92,49;91,92;92,39
2003-09-02;92,4;92,65;91,96;92,47
2003-09-03;92,85;93,05;92,83;93,04
2003-09-04;92,96;92,99;92,77;92,9
2003-09-05;92,78;92,92;92,3;92,46
2003-09-08;92,68;93,64;92,68;93,54
2003-09-09;93,4;93,49;93,1;93,21
2003-09-10;92,9;92,9;92,25;92,25
2003-09-11;92,5;92,5;92;92,32
2003-09-12;92,24;92,49;91,85;92,49
2003-09-15;92,1;92,1;91,37;91,59
2003-09-16;91,42;91,85;91,42;91,85
2003-09-17;92;92;91,1;91,1
2003-09-18;91;91,28;90,6;91,28
2003-09-19;91,52;91,8;91,52;91,6
2003-09-22;91,85;91,85;91,35;91,55
2003-09-23;91,7;92,02;91,55;91,85
2003-09-24;92,64;93,01;92,1;92,41
2003-09-25;92,55;92,55;91,34;91,34
2003-09-26;90,65;90,65;89,64;90,1
2003-09-29;89,9;90,54;89,81;90,43
2003-09-30;90,65;90,85;89,59;90,5
2003-10-01;90,82;91,61;90,82;91,61
2003-10-02;91,5;92,32;91,5;92,32
2003-10-03;92,78;93,17;92,75;92,82
2003-10-06;93;93,4;92,9;93,4
2003-10-07;93,2;93,8;92,82;93,8
2003-10-08;93,83;94,18;93,49;93,5
2003-10-09;93,8;93,82;93,26;93,26
2003-10-10;93,65;94,48;93,65;94,35
2003-10-13;94,6;94,98;94,52;94,97
2003-10-14;94,9;94,9;94,16;94,85
2003-10-15;94,95;94,95;93,62;93,95
2003-10-16;94;94,71;94;94,45
2003-10-17;94,55;94,55;93,58;93,72
2003-10-20;93,75;93,75;93,12;93,57
2003-10-21;93,65;94,19;93,59;94,18
2003-10-22;93,9;93,9;92,86;92,86
